群馬エリア,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項
,メガセンタートライアル伊勢崎中央①,1階レジ奥スペース,伊勢崎市連取町1507,25.41㎡,屋内（風除室含む）,場所取る,"30,000","35,000",要確認,有,有,有,"机（最大4台）
椅子（最大5脚）"
,メガセンタートライアル伊勢崎中央②,エレベーター横スペース（1階東側メイン出入口）,伊勢崎市連取町1507,5㎡,屋内（風除室含む）,グラスト,"35,000","40,000",要確認,有,有,有,"机（最大4台）
椅子（最大5脚）"
,とりせん富士見町,風除室,館林市富士見町12-60,長机2台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,要確認,要確認,要確認,買取催事不可
,とりせん朝日町,屋外軒下スペース,館林市朝日町20-50,長机2台分程,屋外,グラスト,"30,000","30,000",要確認,要確認,要確認,要確認,
,とりせん城西の杜①,店内スペース,太田市城西町80-1,長机2台分程,屋内（風除室含む）,場所取る,"35,000","35,000",要確認,要確認,要確認,要確認,
,とりせん城西の杜②,屋外軒下スペース,太田市城西町80-1,長机3台分程,屋外,グラスト,"30,000","30,000",要確認,要確認,要確認,要確認,
,とりせん太田新井,屋外軒下スペース,太田市新井町377-6,長机1台分程,屋外,グラスト,"25,000","25,000",要確認,要確認,要確認,要確認,
,とりせん下田島①,レジ後方スペース,太田市下田島町1127,長机2台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,無,無,要確認,買取催事不可
,とりせん下田島②,屋外軒下スペース,太田市下田島町1127,長机2台分程,屋外,グラスト,"30,000","30,000",要確認,無,無,要確認,買取催事不可
,とりせん太田八幡町①,店内スペース,太田市八幡町29-13,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,無,無,要確認,
,とりせん太田八幡町②,屋外軒下スペース,太田市八幡町29-13,長机2台分程,屋外,グラスト,"30,000","30,000",要確認,無,無,要確認,
,とりせん大原①,イートインスペース,太田市大原町1701-2,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,無,無,要確認,
,とりせん大原②,屋外軒下スペース,太田市大原町1701-2,長机2台分程,屋外,グラスト,"30,000","30,000",要確認,無,無,要確認,
,とりせん東矢島,店頭軒下,太田市東矢島町194,長机2台分程,屋外,グラスト,"30,000","30,000",要確認,無,無,要確認,簡易テント必須
,とりせん大泉,屋外軒下,邑楽郡大泉町日の出53-1,長机1台分程,屋外,グラスト,"30,000","30,000",要確認,無,無,要確認,
,とりせん茂呂①,レジ前スペース,伊勢崎市茂呂町2丁目3543-4,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,無,無,要確認,
,とりせん茂呂②,屋外軒下スペース,伊勢崎市茂呂町2丁目3543-4,長机2台分程,屋外,グラスト,"30,000","30,000",要確認,無,無,要確認,
,とりせん平和町,屋外軒下スペース,伊勢崎市平和町19-1,長机2台分程,屋外,グラスト,"30,000","30,000",要確認,無,無,要確認,買取催事不可
,とりせん高崎倉賀野①,イートインスペース,高崎市倉賀野町2681-4,長机2台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,無,無,要確認,
,とりせん高崎倉賀野②,風除室,高崎市倉賀野町2681-4,長机2台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,無,無,要確認,
,とりせん箕郷,レジ後方サッカー台付近,高崎市箕郷町上芝240-5,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,無,無,要確認,SB催事不可
,とりせん群馬町①,風除室,高崎市中泉町605-13,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,無,無,要確認,
,とりせん群馬町②,屋外軒下スペース,高崎市中泉町605-13,長机2台分程,屋外,グラスト,"25,000","25,000",要確認,無,無,要確認,
,とりせん石原,屋外軒下スペース,高崎市片岡町2丁目10-1,長机1台分程,屋外,グラスト,"25,000","25,000",要確認,無,無,要確認,屋外スペースだと相談可能
,とりせんローズタウン①,惣菜側入り口スペース,前橋市江木町1701-1,長机2台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,無,無,有,
,とりせんローズタウン②,イートインスペース,前橋市江木町1701-1,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,無,無,有,
,とりせんローズタウン③,屋外軒下スペース,前橋市江木町1701-1,長机1台分程,屋外,グラスト,"25,000","25,000",要確認,無,無,有,
,とりせん新前橋,レジ後方スペース,前橋市小相木町409-1,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,無,無,要確認,
,とりせん玉村,店内入口付近,佐波郡玉村町上飯島280,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,無,無,要確認,
,とりせん渋川,店内スペース,渋川市行幸田63-1,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,無,無,要確認,
,MEGAドン・キホーテUNY伊勢崎東①,1階テナント区画No.102,伊勢崎市三室町5330番地,11.3㎡,屋内（風除室含む）,自由市場,"21,000","52,000",要確認,無,無,有,
,MEGAドン・キホーテUNY伊勢崎東②,屋内正面北口前スペース,伊勢崎市三室町5330番地,2㎡,屋内（風除室含む）,自由市場,"21,000","36,500",要確認,無,無,有,
,ドン・キホーテ高崎,レジアウトスペース,高崎市問屋町西2-4-17,3.2㎡,屋内（風除室含む）,自由市場,"21,000","31,000",要確認,無,無,有,
,ドン・キホーテ伊勢崎①,屋外店頭スペース,伊勢崎市上泉町73-3,4㎡,屋外,自由市場,"8,500","13,000",要確認,無,無,有,
,ドン・キホーテ伊勢崎②,1階中央階段横,伊勢崎市上泉町73-3,3.9m×4.2m,屋内（風除室含む）,自由市場,"21,000","31,000",要確認,無,無,有,
,ドン・キホーテ太田①,屋外プロモーションスペース,太田市飯田町1404-1,20.2㎡,屋外,自由市場,"16,000","26,000",要確認,無,無,有,
1.8m×1.5m,ドン・キホーテ太田②,屋内風除室,太田市飯田町1404-1,2.7㎡,屋内（風除室含む）,自由市場,"21,000","31,000",要確認,無,無,有,
,ドン・キホーテ太田③,屋外出入口正面右側 カーワックススペース,太田市飯田町1404-1,20.2㎡,屋外,自由市場,"8,000","12,000",要確認,無,無,有,
,MEGAドン・キホーテ桐生①,1階ESC横,桐生市永楽町5-10,3㎡,屋内（風除室含む）,自由市場,"16,000","26,000",要確認,無,無,有,
,MEGAドン・キホーテ桐生②,テナント区画《区画No.301》,桐生市永楽町5-10,15㎡,屋内（風除室含む）,グラスト,"10,000","10,000",要確認,無,無,有,
,MEGAドン・キホーテ桐生③,地下1Fエスカレーター横,桐生市永楽町5-10,1.6㎡,屋内（風除室含む）,自由市場,"21,000","31,000",要確認,無,無,有,
,ドン・キホーテUNY藤岡,1F出入口前スペース,藤岡市藤岡416-4,12㎡,屋内（風除室含む）,自由市場,"21,000","31,000",要確認,無,無,有,
,ドン・キホーテ吉岡,1F入口ワイドスペース,北群馬郡吉岡町大久保字大畑747,4.5㎡,屋内（風除室含む）,自由市場,"21,000","36,500",要確認,無,無,有,
,パワーセンターうおかつ群馬町,レジアウトスペース,高崎市棟高町123,長机1～2台分程,屋内（風除室含む）,グラスト,"13,000","13,000",要確認,要確認,要確認,要確認,
,パワーセンターうおかつ榛名,レジ前スペース,高崎市中里見町373,長机2台分程,屋内（風除室含む）,グラスト,"13,000","13,000",要確認,要確認,要確認,要確認,
,パワーセンターうおかつ吉井,イートインスペース,高崎市吉井町池52-1,長机2台分程,屋内（風除室含む）,グラスト,"13,000","13,000",要確認,要確認,要確認,要確認,
,パワーセンターうおかつ生鮮市場飯塚,店頭軒下,高崎市飯塚町397,長机1台分程,屋外,グラスト,"13,000","13,000",要確認,要確認,要確認,要確認,
,フィットネスクラブティップネス太田,店内スペース,太田市下小林町534-11,長机1～2台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,要確認,要確認,要確認,
,フォレストモール新前橋,屋外スペース,前橋市古市町1801,長机1～2台分程,屋外,場所取る,"20,000","35,000",要確認,無,無,有,買取催事不可
,ベイシア吾妻,食品入口店内ガラス面レジ側,吾妻郡東吾妻町原町5081,約3坪,屋内（風除室含む）,グラスト,"30,000","30,000",実施不可,,,,通信催事不可
,ベイシア吉井,食品側店内入り口自動ドアガラス面,高崎市吉井町吉井627,約3坪,屋内（風除室含む）,グラスト,"30,000","30,000",実施不可,,,,通信催事不可
,ベイシア榛名,食品側店内入り口自動ドアガラス面,高崎市中里見町字根岸79,約4坪～6坪,屋内（風除室含む）,グラスト,"30,000","30,000",実施不可,,,,通信催事不可
