神奈川,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,カインズ,三浦店,神奈川県三浦市初声町入江273-3,風除室左側,屋外,,,,要確認,,,,,,,,,,,
,カインズ,三浦店,神奈川県三浦市初声町入江273-3,店頭右側(プラザ前),屋外,場所とる,"23,000","25,000",要確認,,,,,,,,,,,
,ベイタウン本牧５番街,ベイタウン本牧５番街,神奈川県横浜市中区本牧原12-1,空きテナントスペース（114番・保険ショップ横）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ベイタウン本牧５番街,ベイタウン本牧５番街,神奈川県横浜市中区本牧原12-1,イベントスペースプラザ（サイゼリヤ・はま寿司前）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ベイタウン本牧５番街,ベイタウン本牧５番街,神奈川県横浜市中区本牧原12-1,空きテナントスペース（ファッションリフォーム　Ｋ’ｓ横）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ブランチ茅ヶ崎,ブランチ茅ヶ崎,茅ヶ崎市浜見平10-2,1階　まちづくりスポット前,屋外,場所とる,"10,000","10,000",要確認,,,,,,,,,,,
,ブランチ茅ヶ崎,ブランチ茅ヶ崎,茅ヶ崎市浜見平10-2,1階　催事スペース１,屋外,場所とる,"10,000","10,000",要確認,,,,,,,,,,,
,ブランチ茅ヶ崎,ブランチ茅ヶ崎,茅ヶ崎市浜見平10-2,1階　催事スペース2,屋外,場所とる,"10,000","10,000",要確認,,,,,,,,,,,
,ブランチ茅ヶ崎,ブランチ茅ヶ崎,茅ヶ崎市浜見平10-2,1階　催事スペース３,屋外,場所とる,"10,000","10,000",要確認,,,,,,,,,,,
,ブランチ茅ヶ崎,ブランチ茅ヶ崎,茅ヶ崎市浜見平10-2,2階　イベントスペース,屋外,場所とる,"10,000","10,000",要確認,,,,,,,,,,,
,ホームズ,荏田店,神奈川県横浜市青葉区荏田西1-3-14,エレベーター前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ホームズ,荏田店,神奈川県横浜市青葉区荏田西1-3-14,エレベーターホール,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ホームズ,茅ヶ崎店,神奈川県茅ヶ崎市本村4-6-51,階段踊り場,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
